編號,標題,出處,維度,模組,大師金句,具體故事,善緣陪伴語,原文URL,來源Excel
447,p047　現代青年應有的人生觀,星雲智慧,D1心靈韌性,M1情緒支持,手把青秧插滿田，低頭便見水中天；六根清淨方為道，退步原來是向前。,星雲大師曾在一場對青年的演講中，分享農夫插秧的畫面：農夫彎腰低頭，一步步向後退，秧苗卻一排排往前延伸，等他抬起頭，整片田已插滿青秧。大師以此說明「退步原來是向前」的道理——我們習慣眼睛只盯著前方，卻忘了退讓、低頭，有時反而能看見水中倒映的整片天空。他進一步提出在人際相處中的四個態度：你對我錯、你大我小、你有我無、你樂我苦。不是懦弱，而是一種從容的智慧，讓自己從退讓中找到真正的快樂與自在。,有時候一直往前衝，反而愈來愈累。試試看退一步——不是認輸，而是換個角度看。就像農夫插秧，愈退步，田愈滿。你願意讓一讓的那一刻，說不定才是真正向前的開始。,https://books.masterhsingyun.org/ArticleDetail/artcle15439,人間萬事.xlsx
448,p062　讓下一代正確面對人生,星雲智慧,D1心靈韌性,M3意義重建,天堂地獄其實都在我們的心裡，所謂「本無地獄，此心能造此心消」，只要我們時時心存善念，地獄又何足懼哉。,星雲大師講過一個關於天堂與地獄的故事：有個人想親眼看看兩者的差別，於是實地去參觀。他發現地獄裡的人吃飯，用的是三尺長的筷子，夾了菜根本送不到自己嘴裡，結果每個人搶來搶去，互相指責、怨恨不休。再看天堂，筷子同樣有三尺長，但天堂的人夾起菜後，不是往自己嘴送，而是伸手餵給對面的人吃——大家都這樣做，結果個個吃得飽足，滿室和諧歡笑。同樣的處境、同樣的工具，一個成了地獄，一個成了天堂，差別只在於：心裡裝的是自己，還是別人。,有時候我們覺得日子很難熬，好像走進了某種地獄。但大師說，天堂地獄都在心裡——不是環境決定你的處境，而是你怎麼看、怎麼對待身邊的人。試試看，今天先把一點善意送出去，說不定你會發現，那個讓你喘不過氣的地方，其實可以變得很不一樣。,https://books.masterhsingyun.org/ArticleDetail/artcle15443,人間萬事.xlsx
449,p157　有了「禪」生活就會不同,如是說8,D1心靈韌性,M1情緒支持,「『禪』不屬於佛祖，也不只是佛教，是每一個人的心。有了禪的心，喝茶，茶的味道就會不一樣；講話，話的意義內容也會不一樣。任何感情、處事，有了禪一切都不同。」,2012年3月，大成建設公司董事長莊南田伉儷帶領三十六名員工到佛陀紀念館參訪，星雲大師應邀開示。大師沒有搬出艱深的佛典，而是從最日常的一杯茶說起：同樣的茶葉、同樣的水溫，心靜的人喝出甘醇，心亂的人只嚐到苦澀。他說，禪不是廟裡的事，是每個人本來就有的那顆心。當心安定下來，眼前的人事物都會透出不同的光——連說出口的話，都會讓人感覺溫度不一樣。大師又說，人常怕心裡有鬼，其實外面的鬼不可怕，「假如人心中生暗鬼，那個鬼就可怕了」。心裡坦蕩，什麼都不用怕。,你有沒有發現，同樣一件事，心情不同，感受就完全不一樣？心靜的時候，連喝水都覺得甘甜。大師說得好：「心裡沒有鬼，什麼都不怕。」讓自己的心先安下來，生活自然就會開始不一樣。,https://books.masterhsingyun.org/ArticleDetail/artcle19091,人間萬事.xlsx
450,p264　禪的生活,如是說1,D1心靈韌性,M1情緒支持,唯有發自內心的喜悅，才是無止境的快樂，這就是「禪」。,1988年10月，星雲大師受邀在台南市文化中心演講「禪的生活」，現場座無虛席。大師說，現代人追求物質享受，山珍海味吃遍了、名牌買齊了，卻依然感到空虛。感官的快樂就像煙火，絢爛一瞬便熄滅。大師話鋒一轉，說起「禪」——它不是廟裡的事，而是每個人本來就有的清明與自在。就像客廳擺一盆花、菜裡加一匙調味料，禪讓生活多了層次與滋味。哪怕只是每天靜靜坐五到十分鐘，讓紛亂的心沉澱下來，也是重新出發的力量。台下掌聲兩個鐘頭不曾停歇。,忙了一整天，有沒有哪怕五分鐘，只是靜靜坐著、什麼都不想？大師說，真正的快樂不是從外面得來的，而是從心裡長出來的。不用特別學什麼，光是讓自己安靜下來，就已經是一種很好的照顧自己了。,https://books.masterhsingyun.org/ArticleDetail/artcle16933,人間萬事.xlsx
451,p295　禪者的生活,人間萬事,D1心靈韌性,M3意義重建,一個真正的禪者，每天二六時中，無不是生活在禪定之內。禪者的生活，一樣吃飯、穿衣，一樣早晚作息。他不與人計較，不與人相爭，只是默默的、靜靜的跟隨大眾一起。,星雲大師描述禪者的日常：不是盤腿打坐、遠離塵世，而是跟大家一起吃飯、穿衣、勞動。禪者搬柴運水、燒火煮飯、出坡打掃，看起來和普通人沒兩樣，卻在每一個動作裡保持內心的安定。有人問他拜不拜佛，他說「不作佛求、不作法求」；有人問他吃什麼，他說一棵菜根「香甜無比」，一杯清水「甘露瓊漿」。身上沒有半文錢，卻說自己擁有大千世界。這種生活態度，不是逃避，而是在最平凡的日子裡，找到最深的踏實感。大師說，禪者「為度眾而歡喜，為歡喜而生活」，那份喜悅像泉水一樣，從內心不斷湧出，永遠不會乾涸。,你有沒有發現，有些人過得很簡單，卻好像什麼都不缺？不是因為他們什麼都有，而是他們學會了在當下這一刻裡安頓自己。不計較多少，不強求結果，做好眼前的事，心就慢慢靜下來了。這種踏實感，其實你也可以試試看。,https://books.masterhsingyun.org/ArticleDetail/artcle5621,人間萬事.xlsx
452,p184　從做事中得到巧慧,如是說8,D1心靈韌性,M3意義重建,我自己有十年修行單的經驗，一面讀書，一面做事，可以說我的學問不是讀書來的，是做事來的，做事總有許多巧妙處可以學習。,星雲大師曾在佛光山為幾位年輕的佛光小姐開示。他說起自己年輕時整整十年的歲月，一邊在單寮裡讀書，一邊承擔寺院大大小小的事務。那段日子並不輕鬆，沒有人手把手地教，一切都要在實際操作中摸索。搬柴、煮飯、接待、跑腿，每一件看似平凡的勞動，都藏著旁人看不見的學問。正因為如此磨練，大師後來才能把每件事做得靈活有方。他說，那些年累積的「巧慧」，不是從書本裡讀來的，而是從一次次把事做完、做好的過程中悄悄長出來的。,你有沒有發現，有時候反而是那些忙亂、手忙腳亂的時候，讓你學到最多？很多時候，真正讓我們變聰明的，不是讀了幾本書，而是那些親手做過、搞砸過、再重來的經歷。別小看你正在經手的事，每一件都在悄悄給你養分。,https://books.masterhsingyun.org/ArticleDetail/artcle19110,人間萬事.xlsx
453,p216　命運的問題,星雲說喻2,D1心靈韌性,M3意義重建,面對人間的利、衰、毀、譽、稱、譏、苦、樂八風的吹搧，能否安然不動，甘之如飴？要改造命運時，不如先增加我們內在的定力和慧觀，為自己創造一個好鳥歌詠，清涼無惱的心靈淨土。,星雲大師年少出家，心智未開，師兄曾當面批評他「沒有出息」。這句話對一個少年來說，可以是利刃，也可以是磨刀石。年輕的星雲沒有垂頭喪氣，心裡默默想著：「我有沒有出息，不是看現在，要看二十年後、三十年後的我。」就這樣，一句本來帶著嘲諷的話，反而成了他一生砥礪前行的燃料，讓他孜孜不息，走出了一條誰也沒料到的路。命運的轉折，往往就藏在我們如何回應那些傷人的話語之中。,有時候，別人說你「沒出息」，不一定是終點，搞不好反而是你暗暗較勁的起點。命運這件事，外在的風怎麼吹都管不住，但你心裡站不站得穩，才是真正的關鍵。與其去算哪條路最順，不如先把自己的心站穩——那才是你能掌握的事。,https://books.masterhsingyun.org/ArticleDetail/artcle10416,人間萬事.xlsx
454,p267　為人設想,星雲說喻3,D2人際職場,M2關係修復,最豐厚的禮物，是能給人歡喜的禮物；而為他人設想，最能表達我們內心的誠意。真正愛護一個人，就要為對方設想，而非站在自己的立場，依憑自己的喜好。,星雲大師的母親九十五歲往生後，弟弟和姪兒們每天張羅滿桌豐盛供菜祭拜，心意十足。大師卻輕輕問了一句：「母親在世時，最喜歡吃什麼？」眾人想了想，回答：「稀飯和豆腐乳。」大師說：「那為什麼不給她這些？我和她相處多少年，從沒見她吃這麼多。」一句話，讓所有人恍然大悟。從那天起，供桌上換成了一碗清粥、一碟豆腐乳——那才是老人家一生最愛的滋味。大師也提到，古時寺院傍晚關窗，一定等燕子全數歸巢才放下簾子；僧人每天留飯給老鼠，「愛鼠常留飯，憐蛾不點燈」，這份細膩，正是真正替對方著想的心。,我們常常用「自己覺得最好的」去對待在乎的人，卻忘了問一聲：「你真正需要什麼？」愛一個人，不是給他你想給的，而是給他他心裡渴望的。下次在乎某人的時候，試著先停下來問問他的喜好，哪怕只是一碗稀飯的小事，那才是最暖的心意。,https://books.masterhsingyun.org/ArticleDetail/artcle10635,人間萬事.xlsx
455,p157　佛門生活,星雲說偈5,D1心靈韌性,M1情緒支持,肚子餓了就吃飯，倦了就睡覺！你吃飯時百般揀擇挑選，睡覺時輾轉反側睡不安穩，這算什麼？,有人問禪師：「如何參禪？」禪師說：「肚子餓了就吃飯，倦了就睡覺。」對方說：「這樣大家都會呀？」禪師答道：「其實不然。你吃飯時百般揀擇挑選，睡覺時輾轉反側睡不安穩——這哪裡叫自在？真正能做到的人，要睡就睡，要吃就吃，心裡沒有一絲掛礙，那才是真正的安然。」星雲大師引述這段話，是要提醒我們：禪不在深山廟宇，就藏在最日常的穿衣吃飯裡。心不爭競、氣不浮躁，吃飯吃得滿足，那一刻便是自在。,你有沒有發現，我們吃飯時常常心不在焉，睡覺時又翻來覆去？其實真正的放鬆，就是能「要吃就吃、要睡就睡」，讓心回到當下這一刻。不用想太多，先把眼前這件事做好，就夠了。,https://books.masterhsingyun.org/ArticleDetail/artcle13878,人間萬事.xlsx
456,p223　力行生活,如是說2,D1心靈韌性,M1情緒支持,當瞋心生起、煩惱縈繞、灰心失望時，合掌的當下，是怎樣的心情。當我們至誠的心，發揮到了極點，會不自覺地自然合十。,1995年12月15日清晨，佛光山的早會報告廳裡，星雲大師對著台北道場各單位的法師與工作人員，說了一個很生活化的觀察：當一個人心裡火冒三丈、煩惱纏身，或者灰心到快撐不下去的時候，試著把雙手合起來——就在那一刻，什麼感覺？大師說，不需要刻意去壓制情緒，光是那個合掌的動作，心就會不自覺地靜下來。他又說，有時候感動到了極點，人根本不需要任何提醒，雙手自然就合在一起了。那一天，大師還叮嚀大家：用慈悲的眼睛看每一個人，你會發現每個人都像是你的親人；跟人說話時，認真地看著對方，你會明白每一個眼前的人都值得被珍視。,心煩、生氣、快撐不住的時候，試試一個小動作：把雙手慢慢合在一起。不用想什麼，就只是這樣。大師發現，光是這個瞬間，很多情緒就會悄悄鬆動。有時候，身體比腦袋更懂得怎麼讓自己安靜下來。,https://books.masterhsingyun.org/ArticleDetail/artcle17119,人間萬事.xlsx
457,p227　做命運的主人,如是說3,D1心靈韌性,M3意義重建,心好命又好，富貴直到老；命好心不好，福變為禍兆；心好命不好，禍轉為福報；心命俱不好，遭殃且貧夭。,1999年11月19日，星雲大師在新加坡精舍，提筆為馬來西亞即將創刊的報紙《福報》題字。他藉這個機會，向在場的徒眾說起「福報」的真義。大師引用六祖大師的話，講了一個關於心與命的道理：一個人的命運好不好，不是天注定，而是由心決定的。心好的人，即使命運不順，也能把禍轉化為福；心壞的人，即使出生在好環境，也會把福氣折損殆盡。大師說，佛教最公平，「公修公得，婆修婆得」——你怎麼耕耘，就怎麼收穫。掌握命運的第一步，不是去改變外在環境，而是先把自己的心修好，從口言身行、起心動念開始，一點一滴積累好因好緣，這才是真正的福報。,有時候覺得命不好，其實不一定是命的問題。有句話說：「心好命不好，禍轉為福報。」一個人怎麼看事情、怎麼對待別人，慢慢就會塑造出自己的運氣。與其擔心命運，不如先從今天的一個念頭、一句話開始調整——這才是真正能掌握的事。,https://books.masterhsingyun.org/ArticleDetail/artcle17582,人間萬事.xlsx
458,p131　緣分要耐煩等待,如是說10,D1心靈韌性,M1情緒支持,緣分到時，自然有人來找你；因緣不到，你去找因緣都找不到。緣分要耐煩等待。,2014年9月，星雲大師走進叢林學院女眾學部，在圓門前停下來，和師生隨緣說話。他看著眼前這群年輕、認真、卻未必都找到自己位置的學生，輕聲說：有些人聰明能幹，在這裡卻覺得懷才不遇，心裡難免悶。大師沒有急著要他們振作，而是說了一句讓人放下心來的話——緣分到時，自然有人來找你；因緣不到，你去找因緣都找不到。他還說，能忍受多少，成就就有多少。我受苦，心甘情願，就沒有事了；我吃虧，心甘情願，就沒有事了。那個「心甘情願」，不是認命，而是一種把力氣留給對的時刻的智慧。,有時候不是你不夠好，只是時機還沒到。你愈是著急去找，反而愈找不到。試試看換個方式——把自己準備好，然後耐著性子等。對的事情，會在對的時候來找你的。,https://books.masterhsingyun.org/ArticleDetail/artcle20274,人間萬事.xlsx
459,p231　生活的層面,星雲禪話,D2人際職場,M2關係修復,人要能坦白承認自己的過失及接受別人的道歉，這才是學佛人應有的態度，這才是一個智者。,清晨，朱友峰捧著鮮花供果趕赴大佛寺，才踏進大殿，便被李南山撞了個滿懷，花果散落一地。朱友峰怒斥對方粗魯，李南山不甘示弱，兩人在佛殿前越吵越激烈。廣圄禪師聞聲走來，將兩人帶到一旁，平靜地說：「莽撞行走固然不對，但不肯接受別人的道歉，同樣是愚蠢的行為。為了一點小事，一大早就壞了一片虔誠的心，值得嗎？」一席話，讓李南山率先低頭道歉，朱友峰也坦承自己不該為小事動怒。兩個剛才還劍拔弩張的人，就這樣在晨光中和解了。,有時候，一場衝突裡，其實兩個人都有錯——一個太冒失，一個太執著。最難的不是指出對方的問題，而是先說那句「我也有不對的地方」。能承認自己的過失、也能接受對方的道歉，這才是真正有力量的人。,https://books.masterhsingyun.org/ArticleDetail/artcle6879,人間萬事.xlsx
460,p368　自在的生活,星雲說偈6,D1心靈韌性,M1情緒支持,憂愁煩惱莫管他，逢人見面要說好；悲歡離合隨因緣，老病死生不牽掛。,星雲大師說，人生不滿百，常懷千歲憂，生命苦短，不能終日憂愁度日。他觀察到，有人富甲一方、衣食無憂，卻因世俗人情的紛擾，日夜不得安寧；反而有人一無所有，卻安於粗茶淡飯，心中無憂，自在度日。大師也提倡「見面三句話」——「你好啊！」「大家好！」「今天天氣很好啊！」一句簡單問候，卻能無形中拉近彼此距離，讓人心生歡喜。他說，這一句問好，正是友誼的開端，也是生活中的一種密行。至於古代禪者面對生死，有人坐立而去，有人入水高歌而逝，態度坦然灑脫，正是因為他們能放下對生死的牽掛，安住於當下。,你有沒有發現，有些人什麼都有，卻整天煩惱不停；有些人什麼都缺，卻活得輕鬆自在？煩惱很多時候不是真的問題，而是我們太用力抓著它不放。試試看，今天遇到人就說一句「你好」，別小看這三個字，它能讓你和對方都暖一下。悲歡離合本來就是人生的一部分，不用強求，順著走，反而會找到那個安穩的地方。,https://books.masterhsingyun.org/ArticleDetail/artcle14169,人間萬事.xlsx
461,p317　為人要有正念,如是說10,D1心靈韌性,M1情緒支持,寧可正而不足，不要斜（邪）而有餘，做個正派的人。,2015年3月19日清晨，佛光山法堂裡，一群正在大寮實習、負責打掃煮飯的年輕女學生圍坐在星雲大師身旁。大師沒有講大道理，只是靜靜地說：「你們要有正念，即使什麼都缺少，但也寧可正而不足，不要斜而有餘，做個正派的人。」接著，他話鋒一轉，提到身邊的人有多重要——「平時要有善知識、好朋友互相勉勵，不要跟煩惱人來往，所謂『借酒澆愁愁更愁』，跟煩惱人來往會更煩惱。」那一天，沒有說教，只有一位老人家對年輕人最真切的叮嚀：站得正，再困頓也不怕；選對朋友，心才不會越走越黑。,日子有時真的很難，什麼都不夠、什麼都缺。但有一件事你可以選擇——站得正不正。缺一點沒關係，歪了才真的麻煩。還有，你身邊都是什麼樣的人？有沒有那種聊完會讓你更有力氣的朋友？那樣的人，值得你多靠近一點。,https://books.masterhsingyun.org/ArticleDetail/artcle20718,人間萬事.xlsx
462,p088　化緣要有緣分,如是說7,D2人際職場,M3意義重建,「化小緣，不要化大緣」，化緣要有緣分，不可勉強，量力而為。化緣要有佛法。,2010年3月，星雲大師在佛光山主管會議上，談到一件讓他很感動的事：那次信徒香會的師徒接心活動，有四十一位出家眾輪流上台，向信眾介紹自己。大師說，能上台固然好，但待在台下的人同樣重要——佛光山講的是「集體創作」，沒有誰比誰更重要。接著他話鋒一轉，提到另一個核心觀念：向人開口請求幫忙或資源，要看彼此有沒有緣分，不能硬求、不能強要。他說，寧可從小處結緣，也不要一開口就獅子大開口。小小的請求若有緣，自然水到渠成；若勉強而來的，反而傷了彼此的情分。,有時候我們拚命想促成一件事、想讓某人幫忙，卻越使力越尷尬。大師說得好：請求別人要看緣分，不可勉強，量力而為。從小事開始建立信任，比一次要求太多更容易走得長遠。緣分到了，什麼都順；緣分不到，硬來只會留下裂痕。,https://books.masterhsingyun.org/ArticleDetail/artcle18649,人間萬事.xlsx
463,p219　今日耐煩做事,佛光菜根譚,D1心靈韌性,M3意義重建,今日耐煩做事，是未來成功的踏板；今日千錘百鍊，是未來事業的階梯。,星雲大師在《佛光菜根譚》中留下一段簡練卻力道十足的話：「今日耐煩做事，是未來成功的踏板；今日千錘百鍊，是未來事業的階梯；今日養深積厚，是未來成就的力量；今日喜捨布施，是未來圓滿的助緣。」大師一生從江蘇農家少年，輾轉渡海來台，白手建寺，歷經無數困頓——印刷機壞了自己修，弘法路途遭冷眼仍繼續走。每一個「今日耐煩」的當下，都悄悄成為日後佛光山屹立的一塊磚。這四句話，正是他用幾十年歲月親身印證的生命刻度。,覺得現在做的事又煩又看不到盡頭嗎？有人說得好：「今日耐煩做事，是未來成功的踏板。」你現在撐過的每一個難熬的時刻，其實都在悄悄墊高你站立的地方。不用急著看到結果，先把今天這一步踩穩就好。,https://books.masterhsingyun.org/ArticleDetail/artcle21433,人間萬事.xlsx
464,p167　不為人說的法,星雲禪話6,D4終極關懷,M4生死智慧,真正的說法者，是無法可說的。……不用說法，以心印心而已啊！,唐朝百丈涅槃和尚曾去請教南泉普願禪師：「諸佛菩薩為眾生說法，有沒有還沒開示出來的法？能否告訴我？」南泉微笑答：「諸佛菩薩不說，就是不要你知道。」百丈追問：「那禪師您能不能讓我知道一些？」南泉搖頭說：「我早就已經告訴你了，難道你還不懂嗎？」百丈聽了這句話，當下豁然大悟。這段對話沒有給出任何「答案」，卻正是最深的答案——真正的智慧，不在語言裡，而在那個靜靜聆聽、忽然通透的瞬間。,有些事，說破了反而失去了；有些感受，只有自己走過才懂。就像最深的陪伴，不是給對方一堆道理，而是靜靜在旁，讓他自己找到那個答案。你現在心裡那個說不出口的感覺，其實已經是答案了。,https://books.masterhsingyun.org/ArticleDetail/artcle7566,人間萬事.xlsx
465,p173　做事不要本位主義,如是說5,D2人際職場,M1情緒支持,做事不要本位主義，只顧自己的工作完成與否，要發心為常住做其他的事。負責一方的主管，心量要擴大。,2005年9月，星雲大師在洛杉磯西來寺的庭園裡，月色下與身旁的弟子們圍坐接心。他說起身體的病痛是人生常有的事，但心不能跟著垮掉，做事不能鬧情緒、不能頹喪。他特別點到一件他觀察多年的現象：很多人做事只盯著自己份內的事有沒有完成，一旦做完就袖手旁觀，完全不管旁邊的人需不需要幫忙。大師說，這就叫「本位主義」。他形容理想的性格像太陽一樣有熱情，像月亮一樣穩重沉著，不過熱、不過冷。帶領一個團隊的人，尤其要把心量放大，看見的不能只有自己的一畝三分地。,有時候不是我們不努力，而是只顧著把自己的事做完，就忘了抬頭看看周圍。職場裡最讓人暖心的，往往不是最厲害的那個人，而是那個做完自己的事、還會問一句「需要幫忙嗎？」的人。試著把眼光放寬一點，你會發現整個氛圍都不一樣了。,https://books.masterhsingyun.org/ArticleDetail/artcle18165,人間萬事.xlsx
466,p254　生活之要,人間萬事,D1心靈韌性,M1情緒支持,忍之一字，在我們的生活裡，有巨大的功用，儘管世事變化，人間善惡好壞，在我們「能忍」之下，到處沒有風波，如果不起風波，還怕不能自在嗎？,有一位金毗羅王子，出家之後才真正嚐到什麼叫「平安」的滋味。他回憶起還住在王宮裡的日子：吃的是山珍海味，穿的是綾羅綢緞，住的是高牆深院，照理說什麼都不缺了。但那段歲月裡，他每天睡覺都不踏實，吃飯也沒有安全感，腦子裡始終繞著一個念頭——不知道哪一天會被人陷害。衣食無虞，卻活得提心吊膽。直到他放下王宮裡的一切，才第一次感受到那種從心底升起的輕鬆與踏實。星雲大師用這個故事提醒我們：真正的好日子，不是帳戶裡有多少數字，而是每天睡得著、起得來，心裡沒有揣著說不出口的恐懼。,你有沒有過這種感覺——明明什麼都有了，卻還是睡不好、定不下來？其實很多人都這樣。生活過得安不安穩，跟擁有多少關係不大，跟心裡有沒有「虧心事」比較有關係。平日做事對得起自己，夜裡才真的能放鬆。這不是大道理，是很實在的生活體驗。,https://books.masterhsingyun.org/ArticleDetail/artcle4310,人間萬事.xlsx
467,p241　禪是生活的體驗,如是說5,D1心靈韌性,M3意義重建,佛教不重視過去，是積極的展望未來；若執著、放不下、留戀過去，就沒有未來，要放開後面一步，才能向前一大步。,2006年2月，星雲大師在佛光山傳燈樓，與全國教師禪修營的老師們席地而坐、促膝接心。一位老師問起如何從過去的傷痛中走出來，大師沒有引用高深的經典，只是平靜地說：「執著、放不下、留戀過去，就沒有未來。」他比喻人就像走路，腳若死死勾著後面那一步，根本無法向前邁進。只有放開後面，才能踏出前方的一大步。大師自己一生歷經戰亂、流亡、白手創業，卻從不見他在舊傷上打轉；他說「處處無蹤跡」，不是忘記，而是不讓昨天綁住今天的腳。老師們聽完，許多人若有所悟，低頭沉默了許久。,有些事情過去了就是過去了，一直回頭看，只會讓自己走不動。不是叫你假裝沒發生，而是——先把那一步放開，你才有力氣往前走。放下不是失去，是讓自己重新有了方向。,https://books.masterhsingyun.org/ArticleDetail/artcle18215,人間萬事.xlsx
468,p049　抬頭為人服務,如是說11,D1心靈韌性,M3意義重建,不要做『低頭』族，應該『抬頭』為人服務。,2015年9月，星雲大師應邀出席天下文化在惠中寺舉辦的新書發表會，現場一千五百人聆聽。年逾八旬的大師回顧自己的一生，談到影響他最深的，一是老師對他的嚴格磨鍊，二是胡適「話怎麼說，文章就怎麼寫」的樸實哲學。他觀察當代社會，憂心的不是經濟，而是人們不再讀書、失去思想的力量；更看到選舉季節候選人彼此謾罵、媒體造謠的亂象，於是以筆名「趙無任」在報上發表評論，盼望喚起全民一同改善。最後，他對年輕人說出那句簡單卻有力的話：不要只顧低頭滑手機，要抬起頭來，為身邊的人做些什麼。,有時候我們太習慣低著頭、縮在自己的世界裡，反而忘了抬起頭看看周圍的人。其實，走出去幫一個人、做一件小事，往往是讓自己重新找到力量最快的方式。你願意從今天試試看嗎？,https://books.masterhsingyun.org/ArticleDetail/artcle20804,人間萬事.xlsx
469,p046　生活樂趣,佛光菜根譚,D1心靈韌性,M1情緒支持,困難時先憂後樂，失意時苦中想樂，貧苦時知足常樂，落魄時奮起為樂。,星雲大師在《佛光菜根譚》裡，用二十種人生處境寫下「生活樂趣」。他沒有迴避困難、貧苦、委屈、受罪——這些每個人都可能遭遇的時刻——而是在每一種處境裡，指出一條通往快樂的路。困難來了，先扛著憂愁，再等候雲開；失意了，在苦裡頭找一絲暖光；口袋空了，知足就是天堂；落魄了，重新站起來本身就是樂趣。大師用平實的文字告訴我們：快樂不是等條件齊全才能出現，而是在每一個當下的縫隙裡，都藏著可以自己選擇的態度。,日子難過的時候，快樂好像很遙遠。但你有沒有發現，其實每種處境裡都藏著一個小出口？難關裡有「撐過去的成就感」，委屈裡有「放下之後的輕盈」，忙碌裡有「鬧中取靜的自在」。快樂不是等一切變好才能感受，而是現在這一刻，你願不願意先給自己找到那個小出口。,https://books.masterhsingyun.org/ArticleDetail/artcle3877,人間萬事.xlsx
470,p352　禪即生活,星雲禪話,D1心靈韌性,M3意義重建,你以為處理雜務就不是修行嗎？那麼，佛陀為弟子穿針，為弟子煎藥，又算什麼呢？,日本禪師峨山慈棹年老時，在庭院裡親自整理被單。信徒看了覺得不忍，說：「禪師年紀這麼大了，門下弟子那麼多，為什麼還要親自做這些雜務？」峨山反問：「雜務老年人不做，那要做什麼？」信徒說可以修行啊，峨山卻非常不滿地說：「你以為處理雜務就不是修行嗎？」這句話讓信徒當下明白——洗碗、掃地、整理房間，這些日常瑣事本身就是生命的一部分，不是在等做完這些事之後才能去「做重要的事」。黃檗開田、雪峰砍柴、仰山牧牛……古來大師們從不把生活與意義分開，因為禪，就是生活本身。,你有沒有這種感覺：一邊洗碗一邊覺得「這不是我該做的事」，好像在浪費時間？峨山禪師說得好，整理被單、做家務，這些本來就是生活，不是在耽誤你「真正的人生」。把手邊的事做好，就是最真實的活著。,https://books.masterhsingyun.org/ArticleDetail/artcle7661,人間萬事.xlsx
471,p374　做事是平等心的展現,如是說3,D2人際職場,M1情緒支持,做事要做出佛法，做到讓人家能接受，做到一種平等心的展現。,二〇〇一年二月，星雲大師計劃回訪韓國，面對眾多曾來佛光山參訪的韓國佛教團體，他沒有因「單位太多」而感到頭痛，反而細心籌謀：請總務院出面，邀集各地寺院聯合公宴，一次讓所有人都感受到被重視、被尊重。大師說，這樣做不只省時省力，更能避免遺漏任何人、造成遺憾。他的堅持很簡單：「要做到皆大歡喜，才敢放心前往。」在他眼中，就連一場拜訪的安排，也是做事態度的體現——不偏不倚，不厚此薄彼，讓每一個人都感覺自己被平等對待，這才是真正把事情做好的樣子。,做事的時候，有時候最難的不是能力，而是那顆「不偏心」的心——不因對方重不重要、熟不熟，就給出不同的用心程度。能讓每個人都感覺被認真對待，這本身就是一種很了不起的溫柔。,https://books.masterhsingyun.org/ArticleDetail/artcle17688,人間萬事.xlsx
472,p124　山水生活,詩歌人間,D1心靈韌性,M3意義重建,四時之山，正如人的一生，有濃淡、有動靜、有榮枯。水有漣漪、有波濤、有奔放；有高低、有得失、有起伏，就看你如何任運揮灑！,星雲大師在詩作《山水生活》裡，用山與水來訴說一個人的一生。他說，春山淡雅、夏山蒼翠、秋山明淨、冬山如睡——山在四季裡從不抗拒變化，每一種樣貌都有它的美。水也一樣，時而漣漪輕柔，時而波濤洶湧，時而奔放無拘。大師不是要我們逃離起伏，而是說：人生的高低、得失、榮枯，都是真實的風景。如果我們能像山一樣穩穩承接，像水一樣靈活流動，那麼無論走到哪個季節，都可以活得有滋有味。,人生本來就有春夏秋冬，有時蒼翠茂盛，有時安靜如睡。你現在正處的這個階段，不管是哪種樣子，都是你生命裡真實的風景。不用急著跳到下一季，先好好感受一下現在的自己吧。,https://books.masterhsingyun.org/ArticleDetail/artcle21940,人間萬事.xlsx
473,p297　要成為人天師範,如是說5,D1心靈韌性,M3意義重建,不要「入寶山而空手回」，學習要用心，要自我期許為「人天師範」、「佛門龍象」。接受十方供養，要有「滴水之恩，湧泉以報」之心。,2006年7月10日晚上，星雲大師在洛杉磯西來寺的庭院裡，與來自美洲各地的弟子們圍坐共進晚餐。飯後，大師沒有說什麼大道理，而是拿出一份清單，從語言、寫作、藝術、弘法，一直講到健康、信仰、日常習慣，整整十項，每一項都具體到可以馬上去做。最後他輕聲說了一句話：「不要入寶山而空手回。」那一晚，許多人帶著滿滿的筆記離開，心裡揣著一個問題：我究竟想把自己活成什麼樣的人？,有時候我們身邊明明有很多資源，卻因為漫不經心而錯過了。大師說「入寶山，別空手回」——不是要你樣樣完美，而是提醒你：每一天都是一次機會，用心過，就不會白走。你覺得現在哪一件事，值得你多投入一點心力？,https://books.masterhsingyun.org/ArticleDetail/artcle18257,人間萬事.xlsx
